lat,lon
 -1.41667,-51.65
 -1.41667,-51.65
 -1.41667,-51.65
 -1.41667,-51.65
 -1.41667,-51.65
 -1.41667,-51.65
 -23.40492,-51.44532
 -23.40492,-51.44532
 -23.40492,-51.44532
 -22.10774433,-51.4205444
 -22.1256,-51.3889
 -22.1256,-51.3889
 -0.05,-51.1833
 -23.32976174,-51.18061943
 -23.32976174,-51.18061943
 -23.32976174,-51.18061943
 -23.32976174,-51.18061943
 -29.76,-51.1469
 -29.76,-51.1469
 0.03992598,-51.06972744
 0.0342,-51.0603
 0.0701707,-51.05611027
 -21.25511173,-50.64543307
 -21.25511173,-50.64543307
 -21.25511173,-50.64543307
 -21.25511173,-50.64543307
 -21.25511173,-50.64543307
 -21.25511173,-50.64543307
 -21.25511173,-50.64543307
 -25.02388889,-50.58388889
 -25.02388889,-50.58388889
 -25.02388889,-50.58388889
 -25.02388889,-50.58388889
 -25.02388889,-50.58388889
 -20.2667,-50.2333
 -20.2667,-50.2333
 -20.2667,-50.2333
 -22.7833,-50.2
 -20.14715796,-50.19658685
 -21.0712659,-50.1459559
 -21.0712659,-50.1459559
 -22.2370648,-49.9679958
 -22.2370648,-49.9679958
 -22.2370648,-49.9679958
 -20.42013768,-49.95617329
 -6.0707,-49.9043
 -6.0707,-49.9043
 -16.6667,-49.5
 -20.7667,-49.4667
 -20.7667,-49.4667
 -20.8,-49.3833
 -20.8,-49.3833
 -20.8,-49.3833
 -20.8,-49.3833
 -16.60421274,-49.36444791
 -16.60421274,-49.36444791
 -16.60421274,-49.36444791
 -16.60421274,-49.36444791
 -24.11580317,-49.34224708
 -24.11580317,-49.34224708
 -20.4833,-49.3167
 -20.4833,-49.3167
 -16.66639889,-49.29413366
 -16.65769667,-49.28908167
 -16.65775833,-49.28904667
 -16.76713158,-49.28535461
 -16.76713158,-49.28535461
 -16.76713158,-49.28535461
 -25.44004453,-49.28229132
 -25.44004453,-49.28229132
 -16.78520554,-49.27554309
 -16.71618774,-49.27383081
 -16.71618774,-49.27383081
 -16.71618774,-49.27383081
 -16.71618774,-49.27383081
 -16.73211705,-49.27297843
 -16.6923109,-49.2719821
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -25.4346,-49.2699
 -25.4346,-49.2699
 -16.7155111,-49.2632246
 -16.6971194,-49.2631921
 -16.6971194,-49.2631921
 -16.70476767,-49.26319013
 -16.6420299,-49.25681
 -16.6420299,-49.25681
 -16.6799,-49.255
 -16.680567,-49.24929
 -16.680567,-49.24929
 -16.68375162,-49.24783242
 -16.68375162,-49.24783242
 -16.70327219,-49.23840555
 -16.6700565,-49.2325165
 -16.6701126,-49.232401
 -16.6701126,-49.232401
 -16.67013,-49.2323484
 -16.64351005,-49.22840344
 -16.64106004,-49.22693634
 -16.64104856,-49.22692997
 -16.64102282,-49.22690084
 -16.64102282,-49.22690084
 -11.86735091,-49.21875
 -11.86735091,-49.21875
 -11.86735091,-49.21875
 -11.86735091,-49.21875
 -11.86735091,-49.21875
 -11.86735091,-49.21875
 -16.4942347,-49.2152681
 -16.4942347,-49.2152681
 -16.4942347,-49.2152681
 -16.4942347,-49.2152681
 -21.82972222,-49.2075
 -21.82972222,-49.2075
 -21.82972222,-49.2075
 -15.3,-49.1167
 -5.34905376,-49.09565705
 -5.34905376,-49.09565705
 -22.3312292,-49.0611717
 -22.37080586,-49.03647291
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.1,-48.8
 -16.1,-48.8
 -22.6,-48.7833
 -22.6,-48.7833
 -22.6,-48.7833
 -22.6,-48.7833
 -22.6,-48.7833
 -22.6,-48.7833
 -22.6,-48.7833
 -27.025,-48.6539
 -27.59569707,-48.64337325
 -27.59569707,-48.64337325
 -27.59569707,-48.64337325
 -1.45502,-48.5024
 -1.45502,-48.5024
 -1.45502,-48.5024
 -1.46152151,-48.48923251
 -20.9529264,-48.4875992
 -20.9529264,-48.4875992
 -1.44248,-48.48436
 -1.45416351,-48.48266703
